EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), APRIL 2010
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://eca.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : daily snow depth in 1 cm
23-27 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the series of NETHERLANDS, PUTTEN (GLD) (source-ID: 101992)
See file source.txt for more info.



 SOUID,    DATE,   SD, Q_SD
101992,19020530,-9999,    9
101992,19020531,-9999,    9
101992,19020601,-9999,    9
101992,19020602,-9999,    9
101992,19020603,-9999,    9
101992,19020604,-9999,    9
101992,19020605,-9999,    9
101992,19020606,-9999,    9
101992,19020607,-9999,    9
101992,19020608,-9999,    9
101992,19020609,-9999,    9
101992,19020610,-9999,    9
101992,19020611,-9999,    9
101992,19020612,-9999,    9
101992,19020613,-9999,    9
101992,19020614,-9999,    9
101992,19020615,-9999,    9
101992,19020616,-9999,    9
101992,19020617,-9999,    9
101992,19020618,-9999,    9
101992,19020619,-9999,    9
101992,19020620,-9999,    9
101992,19020621,-9999,    9
101992,19020622,-9999,    9
101992,19020623,-9999,    9
101992,19020624,-9999,    9
101992,19020625,-9999,    9
101992,19020626,-9999,    9
101992,19020627,-9999,    9
101992,19020628,-9999,    9
101992,19020629,-9999,    9
101992,19020630,-9999,    9
101992,19020701,-9999,    9
101992,19020702,-9999,    9
101992,19020703,-9999,    9
101992,19020704,-9999,    9
101992,19020705,-9999,    9
101992,19020706,-9999,    9
101992,19020707,-9999,    9
101992,19020708,-9999,    9
101992,19020709,-9999,    9
101992,19020710,-9999,    9
101992,19020711,-9999,    9
101992,19020712,-9999,    9
101992,19020713,-9999,    9
101992,19020714,-9999,    9
101992,19020715,-9999,    9
101992,19020716,-9999,    9
101992,19020717,-9999,    9
101992,19020718,-9999,    9
101992,19020719,-9999,    9
101992,19020720,-9999,    9
101992,19020721,-9999,    9
101992,19020722,-9999,    9
101992,19020723,-9999,    9
101992,19020724,-9999,    9
101992,19020725,-9999,    9
101992,19020726,-9999,    9
101992,19020727,-9999,    9
101992,19020728,-9999,    9
101992,19020729,-9999,    9
101992,19020730,-9999,    9
101992,19020731,-9999,    9
101992,19020801,-9999,    9
101992,19020802,-9999,    9
101992,19020803,-9999,    9
101992,19020804,-9999,    9
101992,19020805,-9999,    9
101992,19020806,-9999,    9
101992,19020807,-9999,    9
101992,19020808,-9999,    9
101992,19020809,-9999,    9
101992,19020810,-9999,    9
101992,19020811,-9999,    9
101992,19020812,-9999,    9
101992,19020813,-9999,    9
101992,19020814,-9999,    9
101992,19020815,-9999,    9
101992,19020816,-9999,    9
101992,19020817,-9999,    9
101992,19020818,-9999,    9
101992,19020819,-9999,    9
101992,19020820,-9999,    9
101992,19020821,-9999,    9
101992,19020822,-9999,    9
101992,19020823,-9999,    9
101992,19020824,-9999,    9
101992,19020825,-9999,    9
101992,19020826,-9999,    9
101992,19020827,-9999,    9
101992,19020828,-9999,    9
101992,19020829,-9999,    9
101992,19020830,-9999,    9
101992,19020831,-9999,    9
101992,19020901,-9999,    9
101992,19020902,-9999,    9
101992,19020903,-9999,    9
101992,19020904,-9999,    9
101992,19020905,-9999,    9
101992,19020906,-9999,    9
101992,19020907,-9999,    9
101992,19020908,-9999,    9
101992,19020909,-9999,    9
101992,19020910,-9999,    9
101992,19020911,-9999,    9
101992,19020912,-9999,    9
101992,19020913,-9999,    9
101992,19020914,-9999,    9
101992,19020915,-9999,    9
101992,19020916,-9999,    9
101992,19020917,-9999,    9
101992,19020918,-9999,    9
101992,19020919,-9999,    9
101992,19020920,-9999,    9
101992,19020921,-9999,    9
101992,19020922,-9999,    9
101992,19020923,-9999,    9
101992,19020924,-9999,    9
101992,19020925,-9999,    9
101992,19020926,-9999,    9
101992,19020927,-9999,    9
101992,19020928,-9999,    9
101992,19020929,-9999,    9
101992,19020930,-9999,    9
101992,19021001,-9999,    9
101992,19021002,-9999,    9
101992,19021003,-9999,    9
101992,19021004,-9999,    9
101992,19021005,-9999,    9
101992,19021006,-9999,    9
101992,19021007,-9999,    9
101992,19021008,-9999,    9
101992,19021009,-9999,    9
101992,19021010,-9999,    9
101992,19021011,-9999,    9
101992,19021012,-9999,    9
101992,19021013,-9999,    9
101992,19021014,-9999,    9
101992,19021015,-9999,    9
101992,19021016,-9999,    9
101992,19021017,-9999,    9
101992,19021018,-9999,    9
101992,19021019,-9999,    9
101992,19021020,-9999,    9
101992,19021021,-9999,    9
101992,19021022,-9999,    9
101992,19021023,-9999,    9
101992,19021024,-9999,    9
101992,19021025,-9999,    9
101992,19021026,-9999,    9
101992,19021027,-9999,    9
101992,19021028,-9999,    9
101992,19021029,-9999,    9
101992,19021030,-9999,    9
101992,19021031,-9999,    9
101992,19021101,-9999,    9
101992,19021102,-9999,    9
101992,19021103,-9999,    9
101992,19021104,-9999,    9
101992,19021105,-9999,    9
101992,19021106,-9999,    9
101992,19021107,-9999,    9
101992,19021108,-9999,    9
101992,19021109,-9999,    9
101992,19021110,-9999,    9
101992,19021111,-9999,    9
101992,19021112,-9999,    9
101992,19021113,-9999,    9
101992,19021114,-9999,    9
101992,19021115,-9999,    9
101992,19021116,-9999,    9
101992,19021117,-9999,    9
101992,19021118,-9999,    9
101992,19021119,-9999,    9
101992,19021120,-9999,    9
101992,19021121,-9999,    9
101992,19021122,-9999,    9
101992,19021123,-9999,    9
101992,19021124,-9999,    9
101992,19021125,-9999,    9
101992,19021126,-9999,    9
101992,19021127,-9999,    9
101992,19021128,-9999,    9
101992,19021129,-9999,    9
101992,19021130,-9999,    9
101992,19021201,-9999,    9
101992,19021202,-9999,    9
101992,19021203,-9999,    9
101992,19021204,-9999,    9
101992,19021205,-9999,    9
101992,19021206,-9999,    9
101992,19021207,-9999,    9
101992,19021208,-9999,    9
101992,19021209,-9999,    9
101992,19021210,-9999,    9
101992,19021211,-9999,    9
101992,19021212,-9999,    9
101992,19021213,-9999,    9
101992,19021214,-9999,    9
101992,19021215,-9999,    9
101992,19021216,-9999,    9
101992,19021217,-9999,    9
101992,19021218,-9999,    9
101992,19021219,-9999,    9
101992,19021220,-9999,    9
101992,19021221,-9999,    9
101992,19021222,-9999,    9
101992,19021223,-9999,    9
101992,19021224,-9999,    9
101992,19021225,-9999,    9
101992,19021226,-9999,    9
101992,19021227,-9999,    9
101992,19021228,-9999,    9
101992,19021229,-9999,    9
101992,19021230,-9999,    9
101992,19021231,-9999,    9
101992,19030101,-9999,    9
101992,19030102,-9999,    9
101992,19030103,-9999,    9
101992,19030104,-9999,    9
101992,19030105,-9999,    9
101992,19030106,-9999,    9
101992,19030107,-9999,    9
101992,19030108,-9999,    9
101992,19030109,-9999,    9
101992,19030110,-9999,    9
101992,19030111,-9999,    9
101992,19030112,-9999,    9
101992,19030113,-9999,    9
101992,19030114,-9999,    9
101992,19030115,-9999,    9
101992,19030116,-9999,    9
101992,19030117,-9999,    9
